Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
90,Burnout Paradise,,PS3,Electronic Arts,Criterion Games,,9.0,,,1950000.0,1010000.0,630000.0,20000.0,280000.0,2008-01-22 00:00:00,N/A
91,Forza Horizon,,X360,Microsoft Studios,Playground Games,,,,,1940000.0,820000.0,940000.0,40000.0,160000.0,2012-10-23 00:00:00,2018-01-16 00:00:00
92,Jet Moto 2,,PS,Sony Computer Entertainment,SingleTrac,,,,,1940000.0,1410000.0,420000.0,30000.0,70000.0,1997-10-31 00:00:00,N/A
93,MX Unleashed,,PS2,THQ,Rainbow Studios,,,,,1920000.0,940000.0,730000.0,,250000.0,2004-02-17 00:00:00,N/A
94,Need for Speed: Shift,,X360,Electronic Arts,Slightly Mad Studios,8.6,8.2,,,1910000.0,730000.0,960000.0,10000.0,220000.0,2009-09-15 00:00:00,N/A
95,Gran Turismo Concept 2001 Tokyo,,PS2,Unknown,Polyphony Digital,,,,,1840000.0,,1100000.0,420000.0,330000.0,N/A,N/A
96,Forza Horizon 4,,XOne,Microsoft Studios,Playground Games,,9.2,,,1840000.0,740000.0,950000.0,10000.0,150000.0,2018-10-02 00:00:00,2018-10-01 00:00:00
97,Jet Moto,,PS,Sony Computer Entertainment,SingleTrac,,,,,1830000.0,1330000.0,400000.0,30000.0,70000.0,1996-10-31 00:00:00,N/A
98,Crazy Taxi,,DC,Sega,Hitmaker,,9.3,,,1810000.0,1100000.0,510000.0,120000.0,80000.0,2000-01-24 00:00:00,N/A
99,The Crew,,PS4,Ubisoft,Ubisoft Reflections,,,,,1790000.0,440000.0,1040000.0,30000.0,270000.0,2014-12-02 00:00:00,2018-01-04 00:00:00
100,Midnight Club II,,PS2,Rockstar Games,Rockstar San Diego,,,,,1780000.0,1250000.0,290000.0,,240000.0,2003-04-09 00:00:00,N/A
101,Cruis'n USA,,N64,Nintendo,Midway Games,,,,1720000.0,,,,,,1996-12-03 00:00:00,N/A
102,Need for Speed Underground,,XB,Electronic Arts,EA Black Box,,,,,1710000.0,1090000.0,550000.0,,70000.0,2003-11-17 00:00:00,N/A
