Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
368,Adventure Time: Explore the Dungeon Because I Don't Know!,,WiiU,D3Publisher,Way Forward,,2.8,,,40000.0,20000.0,20000.0,,0.0,2013-12-12 00:00:00,2018-01-22
369,Ukiyo no Shishi,,PS3,Namco Bandai Games,Spike Chunsoft,,,,,40000.0,,,40000.0,,2015-01-29 00:00:00,2019-04-26
370,Assassin's Creed Chronicles: China,,PS4,Ubisoft,Climax Studios,,,,,40000.0,,30000.0,,10000.0,2015-04-21 00:00:00,2018-12-30
371,Asterix and Obelix XXL2,,PS4,Microids,Microids,,,,,40000.0,,30000.0,,10000.0,2018-11-29 00:00:00,2019-02-19
372,Hotel Transylvania 3: Monsters Overboard,,PS4,Outright Games,Torus Games,,,,,40000.0,30000.0,,,10000.0,2018-07-10 00:00:00,2019-03-24
373,Hunter x Hunter: Wonder Adventure,,PSP,Namco Bandai Games,Namco Bandai Games,,,,,40000.0,,,40000.0,,2012-09-20 00:00:00,2019-04-26
374,Assassin's Creed Rogue Remastered,,XOne,Ubisoft,Ubisoft,6.0,6.0,,,40000.0,,30000.0,,0.0,2018-03-20 00:00:00,2018-01-29
375,Monster Boy and the Cursed Kingdom,,NS,FDG Entertainment,Game Atelier,8.0,8.0,9.5,,40000.0,30000.0,,,0.0,2018-11-06 00:00:00,2018-12-17
376,The Persistence,,PS4,Sony Interactive Entertainment,Firesprite,7.0,,,,40000.0,,30000.0,,10000.0,2018-07-24 00:00:00,2018-09-24
377,Penguins of Madagascar,,WiiU,Little Orbit,Little Orbit,,,,,30000.0,10000.0,20000.0,,0.0,2014-11-25 00:00:00,2018-04-07
378,Earthfall,,XOne,Gearbox Software,Holospark,,,,,30000.0,30000.0,,,0.0,2018-07-13 00:00:00,2018-05-25
379,Power Rangers Super Megaforce,,3DS,Namco Bandai Games,7thChord,,,,,30000.0,10000.0,10000.0,,0.0,2014-10-28 00:00:00,2019-01-23
380,Override: Mech City Brawl,,PS4,Modus Games,The Balance Inc,,,7.0,,30000.0,20000.0,,,10000.0,2018-12-04 00:00:00,2019-03-28
381,Beast Quest,,PS4,Maximum Games,Torus Games,,,,,30000.0,20000.0,,,10000.0,2018-03-13 00:00:00,2018-01-08
382,Record of Grancrest War,,PS4,Bandai Namco Games,Bandai Namco,,,,,30000.0,,,30000.0,,2018-06-14 00:00:00,2018-06-24
383,Legends of Chima: Laval's Journey,,DS,Warner Bros. Interactive Entertainment,TT Fusion,,,,,30000.0,,30000.0,,0.0,2013-08-31 00:00:00,2018-12-03
384,Star Trek: The Game,,PC,Namco Bandai Games,Digital Extremes,,,,,30000.0,0.0,20000.0,,0.0,2013-04-23 00:00:00,2018-10-29
385,Ukiyo no Roushi,,PSV,Spike Chunsoft,Spike Chunsoft,,,,,30000.0,,,30000.0,,2015-02-11 00:00:00,2019-04-27
386,Beast Quest,,XOne,Maximum Games,Torus Games,,,,,30000.0,20000.0,,,0.0,2018-03-13 00:00:00,2018-01-08
387,Onimusha: Warlords,,PS4,Capcom,Capcom,,,,,30000.0,,,30000.0,,2019-01-15 00:00:00,2018-12-29
388,Hellblade: Senua's Sacrifice,,XOne,Microsoft Studios,Ninja Theory,,,,,30000.0,20000.0,,,0.0,2018-12-04 00:00:00,2018-11-02
389,Darksiders: Warmastered Edition,,WiiU,THQ Nordic,Kaiko,,,,,30000.0,10000.0,10000.0,,0.0,2017-05-23 00:00:00,2018-03-31
390,Agony,,PS4,Maximum Games,Madmind Studio,,5.0,,,30000.0,20000.0,,,0.0,2018-05-29 00:00:00,2018-04-30
391,The Girl and the Robot,,PS4,Soedesco,Flying Carpets Games,,,,,30000.0,20000.0,,,0.0,2017-09-29 00:00:00,2019-05-01
392,République,,PS4,GungHo Online Entertainment,Camouflaj,,6.5,,,20000.0,,10000.0,10000.0,0.0,2016-03-22 00:00:00,2018-04-15
393,Resident Evil: Value Pack,,PS4,Capcom,Capcom,,,,,20000.0,,,20000.0,,2016-09-29 00:00:00,2018-09-04
394,Agony,,XOne,Maximum Games,Madmind Studio,,,,,20000.0,20000.0,,,0.0,2018-05-29 00:00:00,2018-04-30
395,Override: Mech City Brawl,,XOne,Modus Games,The Balance Inc,,,,,20000.0,20000.0,,,0.0,2018-12-04 00:00:00,2019-03-28
