Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
124,The Stanley Parable,,PC,Galactic Cafe,Galactic Cafe,,,,1000000.0,,,,,,2013-10-17 00:00:00,2018-01-19 00:00:00
125,Apollo Justice: Ace Attorney,,DS,Capcom,Capcom,7.9,8.0,,,990000.0,280000.0,50000.0,640000.0,30000.0,2008-02-19 00:00:00,N/A
126,Gangs of London,,PSP,Sony Computer Entertainment,SCEE London Studio,,5.0,,,960000.0,300000.0,430000.0,,220000.0,2006-10-03 00:00:00,N/A
127,Scooby-Doo! First Frights,,Wii,Warner Bros. Interactive,Torus Games,,,,,960000.0,840000.0,40000.0,,70000.0,2009-09-22 00:00:00,N/A
128,Tom Clancy's Splinter Cell: Chaos Theory,,PS2,Ubisoft,Ubisoft Montreal / Annecy,,,,,950000.0,360000.0,450000.0,,140000.0,2005-03-28 00:00:00,N/A
129,Destroy All Humans!,,PS2,THQ,Pandemic Studios,,,,,940000.0,780000.0,30000.0,,130000.0,2005-06-21 00:00:00,N/A
130,Prince of Persia: The Sands of Time,,XB,Ubisoft,Ubisoft Montreal,,9.0,,,940000.0,570000.0,330000.0,,40000.0,2003-11-12 00:00:00,N/A
131,Monster High: Ghoul Spirit,,DS,THQ,THQ,,,,,930000.0,690000.0,160000.0,,70000.0,2011-10-25 00:00:00,N/A
132,Phoenix Wright: Ace Attorney,,DS,Capcom,Capcom,8.0,8.1,,,930000.0,440000.0,50000.0,390000.0,50000.0,2005-10-12 00:00:00,N/A
133,Assassin's Creed,,PC,Ubisoft,Ubisoft Montreal,,7.6,,,910000.0,10000.0,840000.0,,60000.0,2008-04-08 00:00:00,2018-11-23 00:00:00
134,LEGO Indiana Jones 2: The Adventure Continues,,PS3,LucasArts,Traveller's Tales,,,,,900000.0,470000.0,300000.0,,130000.0,2009-11-17 00:00:00,N/A
135,Minecraft: Story Mode,,PS3,Mojang,Telltale Games,,,,,890000.0,320000.0,430000.0,,150000.0,2015-10-27 00:00:00,2018-01-13 00:00:00
