Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
500,Pitfall 3D: Beyond the Jungle,,PS,Activision,Activision,,,,,330000.0,180000.0,120000.0,,20000.0,1998-02-28 00:00:00,N/A
501,Squishy the Suicidal Pig,,PC,Unknown,Tomi Maarela,,,,330000.0,,,,,,N/A,2019-02-13 00:00:00
502,Spongebob Squarepants: Creature from the Krusty Krab,,GC,THQ,Blitz Games,,,,,330000.0,250000.0,70000.0,,10000.0,2006-10-16 00:00:00,N/A
503,Spy Kids 3-D: Game Over,,GBA,Disney Interactive Studios,Digital Eclipse,,,,,330000.0,240000.0,90000.0,,10000.0,2003-06-30 00:00:00,N/A
504,Power Rangers: Ninja Storm,,GBA,THQ,Natsume,,,,,330000.0,240000.0,90000.0,,10000.0,2003-09-05 00:00:00,N/A
505,And Yet It Moves,,PC,Broken Rules,TU Wien,,8.0,,320000.0,,,,,,2009-04-02 00:00:00,N/A
506,Ben 10 Ultimate Alien: Cosmic Destruction,,DS,D3 Publisher,Griptonite Games,,,,,320000.0,220000.0,80000.0,,30000.0,2010-10-05 00:00:00,N/A
507,Chibi-Robo! Zip Lash,,3DS,Nintendo,Nintendo,,5.5,,,320000.0,140000.0,90000.0,70000.0,20000.0,2015-10-09 00:00:00,2018-01-14 00:00:00
508,Rayman 2: The Great Escape,,PS,Ubisoft,Ubisoft Shanghai,,8.7,,,320000.0,180000.0,120000.0,,20000.0,2000-09-15 00:00:00,N/A
509,Frogger's Adventures: The Rescue,,PS2,Konami,Konami,,,,,320000.0,160000.0,120000.0,,40000.0,2003-10-29 00:00:00,N/A
510,SpongeBob SquarePants: Double Pack,,GBA,THQ,THQ,,,,,320000.0,230000.0,80000.0,,10000.0,2005-03-08 00:00:00,N/A
511,Heart of Darkness,,PS,Interplay,Amazing Studios,,,,,320000.0,180000.0,120000.0,,20000.0,1998-07-31 00:00:00,N/A
512,Little Deviants,,PSV,Sony Computer Entertainment,Bigbig Studios,,,,,320000.0,140000.0,130000.0,,50000.0,2012-02-15 00:00:00,N/A
513,Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,,SNES,Konami,Konami,,,,,310000.0,,,310000.0,0.0,1995-12-22 00:00:00,N/A
514,Monsters vs. Aliens,,PS3,Activision,Beenox,,,,,310000.0,210000.0,60000.0,,40000.0,2009-03-24 00:00:00,N/A
515,Mega Man Maverick Hunter X,,PSP,Capcom,Capcom,,7.9,,,310000.0,270000.0,10000.0,,30000.0,2006-01-31 00:00:00,N/A
516,The Legend of Spyro: Dawn of the Dragon,,X360,Vivendi Games,Etranges Libellules,,,,,310000.0,160000.0,130000.0,,30000.0,2008-10-21 00:00:00,N/A
517,Yellow: The Yellow Artifact,,PC,Unknown,Unknown,,,,310000.0,,,,,,N/A,2019-02-14 00:00:00
518,Goemon's Great Adventure,,N64,Konami,Konami Computer Entertainment Osaka,,,,,310000.0,60000.0,20000.0,130000.0,100000.0,1999-09-15 00:00:00,N/A
519,Mega Man Zero Collection,,DS,Capcom,Inti Creates,,7.5,,,310000.0,170000.0,10000.0,110000.0,20000.0,2010-06-08 00:00:00,N/A
520,Sonic Mania,,PS4,Sega,PagodaWest Games,,,,,310000.0,100000.0,150000.0,10000.0,50000.0,2017-08-15 00:00:00,2018-08-15 00:00:00
521,Spider-Man 3,,PSP,Activision,Treyarch,,5.3,,,310000.0,10000.0,240000.0,,60000.0,2007-10-16 00:00:00,N/A
522,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,,SNES,Konami,Konami,,,,,310000.0,,,310000.0,0.0,1993-12-22 00:00:00,N/A
523,40 Winks,,PS,GT Interactive,Eurocom Entertainment Software,,5.5,,,310000.0,170000.0,120000.0,,20000.0,1999-11-14 00:00:00,N/A
524,Disney's The Emperor's New Groove,,PS,Sony Computer Entertainment,Argonaut Software,,,,,310000.0,170000.0,120000.0,,20000.0,2000-11-13 00:00:00,N/A
525,Shrek: Forever After,,DS,Activision,Griptonite Games,,,,,310000.0,180000.0,100000.0,,30000.0,2010-05-18 00:00:00,N/A
526,Spyro: Attack of the Rhynocs,,GBA,Universal Interactive,Digital Eclipse,,,,,300000.0,220000.0,80000.0,,10000.0,2003-10-27 00:00:00,N/A
527,Madagascar,,DS,Activision,Vicarious Visions,,6.3,,,300000.0,250000.0,30000.0,,20000.0,2005-05-23 00:00:00,N/A
528,Jumping Flash!,,PS,Sony Computer Entertainment,Exact,,,,,300000.0,50000.0,30000.0,210000.0,20000.0,1995-04-27 00:00:00,N/A
529,Lizzie McGuire 3: Homecoming Havoc,,GBA,Buena Vista,Climax Group Inc.,,,,,300000.0,220000.0,80000.0,,10000.0,2005-08-21 00:00:00,N/A
530,LEGO City Undercover,,XOne,Warner Bros. Interactive Entertainment,TT Fusion,,,,,300000.0,150000.0,120000.0,,30000.0,2017-04-04 00:00:00,2018-05-24 00:00:00
531,Shovel Knight,,WiiU,Yacht Club Games,Yacht Club Games,,9.0,,300000.0,,,,,,2014-06-26 00:00:00,2018-11-21 00:00:00
532,Rayman 2: Revolution,,PS2,Ubisoft,Ubisoft,,8.7,,,300000.0,150000.0,110000.0,,40000.0,2001-01-30 00:00:00,N/A
533,Spirit: Stallion of the Cimarron,,GBA,THQ,Hyperspace Cowgirls,,,,,300000.0,210000.0,80000.0,,10000.0,2002-05-29 00:00:00,N/A
534,Scooby-Doo! Night of 100 Frights,,GC,THQ,Heavy Iron Studios,,,,,300000.0,230000.0,60000.0,,10000.0,2002-09-16 00:00:00,N/A
535,Yooka-Laylee,,PS4,Team17 Software,Playtonic Games,,,,,290000.0,90000.0,160000.0,,50000.0,2018-01-01 00:00:00,2018-05-31 00:00:00
536,Shrek: Forever After,,Wii,Activision,XPEC Entertainment Inc.,,,,,290000.0,180000.0,90000.0,,30000.0,2010-05-18 00:00:00,N/A
537,Strider (2014),,PC,Capcom,Double Helix Games,,,,290000.0,,,,,,2014-02-19 00:00:00,2019-01-03 00:00:00
538,Ratchet & Clank: Size Matters,,PS2,Sony Computer Entertainment,High Impact Games,,,,,290000.0,130000.0,100000.0,30000.0,30000.0,2008-03-11 00:00:00,N/A
539,Sonic Adventure DX: Director's Cut,,PC,Activision,Sonic Team,,,,290000.0,,,,,,2004-01-01 00:00:00,N/A
540,Mega Man X8,,PS2,Capcom,Capcom,,,,,290000.0,140000.0,110000.0,,40000.0,2004-12-07 00:00:00,N/A
541,Sonic Boom: Shattered Crystal,,3DS,Sega,Sanzaru Games,,3.8,,,290000.0,170000.0,90000.0,,30000.0,2014-11-11 00:00:00,2018-10-18 00:00:00
542,Skylanders Imaginators,,X360,Activision,Toys for Bob,,,,,290000.0,140000.0,120000.0,,20000.0,2016-10-16 00:00:00,2018-03-30 00:00:00
543,Downwell,,PC,Unknown,Moppin,,,,290000.0,,,,,,N/A,2019-02-15 00:00:00
544,Rocketbirds: Hardboiled Chicken,,PC,Unknown,Ratloop Asia Pte Ltd,,,,290000.0,,,,,,N/A,2019-02-15 00:00:00
545,Rayman 3: Hoodlum Havoc,,PS2,Ubisoft,Ubisoft,,7.4,,,290000.0,140000.0,110000.0,,40000.0,2003-03-17 00:00:00,N/A
546,Tomba! 2: The Evil Swine Return,,PS,Sony Computer Entertainment,Whoopee Camp,,,,,290000.0,160000.0,110000.0,,20000.0,1999-12-01 00:00:00,N/A
547,Sonic Forces,,XOne,Sega,Sonic Team,,,,,290000.0,150000.0,110000.0,,30000.0,2017-11-07 00:00:00,2018-02-11 00:00:00
548,Spyro: A Hero's Tail,,GC,VU Games,Eurocom Entertainment Software,,6.4,,,290000.0,220000.0,60000.0,,10000.0,2004-11-03 00:00:00,N/A
549,Earthworm Jim,,GBA,Majesco,Game Titan,,7.2,,,290000.0,200000.0,80000.0,,10000.0,2001-06-10 00:00:00,N/A
550,Tigger's Honey Hunt,,PS,NewKidCo,Doki Denki,,,,,280000.0,160000.0,110000.0,,20000.0,2000-09-29 00:00:00,N/A
