Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
831,Lunar: Silver Star Story,,SAT,Kadokawa Shoten,Kadokawa Shoten,,,,,230000.0,,,230000.0,0.0,1996-10-25 00:00:00,N/A
832,Evoland 2,,PC,Shiro Games,Shiro Games,,,,230000.0,,,,,,2015-08-25 00:00:00,2018-08-10 00:00:00
833,Valkyrie Profile: Covenant of the Plume,,DS,Square Enix,tri-Ace,,7.5,,230000.0,,,,,,2009-03-16 00:00:00,N/A
834,Soul Sacrifice Delta,,PSV,Sony Computer Entertainment,SCE Japan Studio,,,,,230000.0,0.0,80000.0,120000.0,20000.0,2014-05-13 00:00:00,2018-09-16 00:00:00
835,Mega Man Battle Network 5: Team Colonel / Protoman,,GBA,Capcom,Capcom,,,,,230000.0,160000.0,60000.0,,0.0,2004-12-09 00:00:00,N/A
836,Lunar Knights,,DS,Konami,Kojima Productions,,8.2,,,230000.0,170000.0,10000.0,40000.0,10000.0,2007-02-06 00:00:00,N/A
837,Ys Seven,,PSP,Xseed Games,Nihon Falcom Corporation,,7.6,,,230000.0,140000.0,,80000.0,20000.0,2010-08-17 00:00:00,N/A
838,Final Fantasy XI: Treasures of Aht Urhgan,,PS2,Square Enix,Square Enix,,,,,230000.0,60000.0,50000.0,100000.0,20000.0,2006-04-18 00:00:00,N/A
839,Alundra,,PS,Working Designs,Matrix Software,,8.8,,,230000.0,130000.0,90000.0,,10000.0,1997-12-31 00:00:00,N/A
840,.hack//G.U. Vol.2//Reminisce,,PS2,Namco Bandai,CyberConnect2,,6.2,,,230000.0,110000.0,90000.0,,30000.0,2007-05-08 00:00:00,N/A
841,Valhalla Knights 2,,PSP,Xseed Games,K2 LLC,,5.0,,,230000.0,90000.0,0.0,120000.0,10000.0,2008-10-01 00:00:00,N/A
842,Justice League Heroes,,PSP,Warner Bros. Interactive,Snowblind Studios,,,,,230000.0,200000.0,10000.0,,20000.0,2006-11-22 00:00:00,N/A
843,Digimon World DS (JP sales),,DS,Namco Bandai,Namco Bandai Games America,,,,,230000.0,,,230000.0,,2006-11-07 00:00:00,N/A
844,Risen 2: Dark Waters,,PS3,Deep Silver,Piranha Bytes,,5.5,,,230000.0,40000.0,140000.0,10000.0,30000.0,2012-07-31 00:00:00,2018-01-03 00:00:00
845,Sword Art Online: Infinity Moment,,PSP,Namco Bandai Games,Aquria,,,,,220000.0,,,220000.0,,2013-03-14 00:00:00,2018-10-29 00:00:00
846,Pokémon Gold/Pokémon Silver,,3DS,Nintendo,Game Freak,,,,,220000.0,,210000.0,,10000.0,2017-09-22 00:00:00,2018-08-03 00:00:00
847,Skies of Arcadia Legends,,GC,Sega,Overworks,,8.6,,,220000.0,170000.0,40000.0,,10000.0,2003-01-27 00:00:00,N/A
848,Breath of Fire,,GBA,Capcom,Capcom,,7.8,,,220000.0,110000.0,40000.0,60000.0,0.0,2001-12-13 00:00:00,N/A
849,Luminous Arc 2,,DS,Atlus,imageepoch Inc.,,7.5,,,220000.0,200000.0,0.0,,20000.0,2008-11-18 00:00:00,N/A
850,The Legend of Heroes: Trails of Cold Steel II,,PS3,Xseed Games,Nihon Falcom Corporation,,,,,220000.0,50000.0,40000.0,110000.0,20000.0,2016-09-06 00:00:00,2018-10-29 00:00:00
